1.0,1065012.3331686172,818327.8883364244,1694736.6150502842,,55560.62483764799,91207.82489855484,33219.42826744265,48578.48173464387,46286.94814952518,21124.098943681,55251.28213294241,16127.87204943812,93138.59295083047,136261.0364927353,0.006,,0.18,0.11,0.302,0.20600000000000002,0.217,0.47400000000000003,0.181,0.621,0.108,0.074,0.016,0.016,
2.0,1063590.8695355002,816906.4247033073,1692262.843475244,,55575.83846839512,91311.2962668012,33226.29362182493,48604.24923952235,46304.70868662666,21124.365606867133,55298.750410835884,16137.952286085689,93134.37937162664,136400.07233061013,0.006,,0.18,0.11,0.301,0.20600000000000002,0.216,0.47400000000000003,0.181,0.62,0.108,0.074,0.016,0.016,
3.0,1064147.7685170427,817463.3236848499,1693232.0141515897,,55600.94248302117,91415.5150703122,33232.823464366964,48630.081238606,46322.40664945375,21124.590609795694,55347.50404694473,16149.230865780817,93130.8949093033,136538.97801727796,0.006,,0.18,0.11,0.301,0.20600000000000002,0.216,0.47400000000000003,0.181,0.62,0.108,0.074,0.016,0.016,
4.0,1067498.1206744253,820813.6758422324,1699062.628273692,,55626.61585097601,91519.41891789288,33239.231009729476,48655.87865321042,46340.27195895349,21124.885531163723,55392.01064080807,16157.93717930351,93129.5190594759,136677.40142047545,0.006,,0.18,0.11,0.301,0.20600000000000002,0.216,0.47400000000000003,0.181,0.619,0.108,0.074,0.016,0.016,
364.0,1067498.1206744253,820813.6758422324,1699062.628273692,,55626.61585097601,91519.41891789288,33239.231009729476,48655.87865321042,46340.27195895349,21124.885531163723,55392.01064080807,16157.93717930351,93129.5190594759,136677.40142047545,0.006,,0.18,0.11,0.301,0.20600000000000002,0.216,0.47400000000000003,0.181,0.619,0.108,0.074,0.016,0.016,
724.0,1067498.1206744253,820813.6758422324,1699062.628273692,,55626.61585097601,91519.41891789288,33239.231009729476,48655.87865321042,46340.27195895349,21124.885531163723,55392.01064080807,16157.93717930351,93129.5190594759,136677.40142047545,0.006,,0.18,0.11,0.301,0.20600000000000002,0.216,0.47400000000000003,0.181,0.619,0.108,0.074,0.016,0.016,
1084.0,1067498.1206744253,820813.6758422324,1699062.628273692,,55626.61585097601,91519.41891789288,33239.231009729476,48655.87865321042,46340.27195895349,21124.885531163723,55392.01064080807,16157.93717930351,93129.5190594759,136677.40142047545,0.006,,0.18,0.11,0.301,0.20600000000000002,0.216,0.47400000000000003,0.181,0.619,0.108,0.074,0.016,0.016,
1444.0,1067498.1206744253,820813.6758422324,1699062.628273692,,55626.61585097601,91519.41891789288,33239.231009729476,48655.87865321042,46340.27195895349,21124.885531163723,55392.01064080807,16157.93717930351,93129.5190594759,136677.40142047545,0.006,,0.18,0.11,0.301,0.20600000000000002,0.216,0.47400000000000003,0.181,0.619,0.108,0.074,0.016,0.016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,157470.18151585333,102263.0650350323,205834.04068992214,,83465.45825109602,26972.041360870026,57214.302675862935,14868.494135325049,27799.191051956488,9736.273778370396,22300.036690940975,81383.10515287743,16635.34725122811,74901.9261451831,0.049,,0.12,0.371,0.17500000000000002,0.673,0.36,1.028,0.449,0.123,0.602,0.134,0.111,0.111,
1.0,157568.13779564665,102361.02131482562,205984.17623090107,,83525.50821322111,27003.09541010114,57184.23194207158,14868.198873321022,27827.993947528194,9743.347092798653,22315.215008662264,81488.51653641603,16637.42871931437,74902.9760634385,0.049,,0.12,0.371,0.17500000000000002,0.673,0.36,1.027,0.449,0.123,0.602,0.134,0.111,0.111,
2.0,157305.92726957367,102098.81078875264,205582.2916425379,,83583.81876513096,27032.131946949365,57154.065553320164,14868.01377310125,27857.754717149768,9749.843093510754,22329.154854028337,81590.1892821195,16639.182324538553,74903.09312445358,0.049,,0.12,0.37,0.17500000000000002,0.673,0.359,1.026,0.448,0.123,0.601,0.134,0.111,0.111,
3.0,157523.58633451498,102316.46985369395,205915.89313835697,,83648.64999977151,27065.33302486751,57115.53553810362,14867.829100597075,27887.553073521813,9756.332272191277,22342.853463405074,81691.0565673038,16642.123214718056,74903.37214145761,0.049,,0.12,0.37,0.176,0.673,0.359,1.025,0.448,0.123,0.601,0.134,0.111,0.111,
4.0,157864.56081508895,102657.44433426792,206438.49759219066,,83702.32429175846,27093.497361813115,57085.25888118701,14867.547595375734,27919.467366613953,9763.069173007769,22358.86106129925,81797.79648201549,16642.625807371507,74903.35663533991,0.049,,0.12,0.37,0.176,0.673,0.359,1.025,0.448,0.123,0.601,0.134,0.111,0.111,
364.0,157864.56081508895,102657.44433426792,206438.49759219066,,83702.32429175846,27093.497361813115,57085.25888118701,14867.547595375734,27919.467366613953,9763.069173007769,22358.86106129925,81797.79648201549,16642.625807371507,74903.35663533991,0.049,,0.12,0.37,0.176,0.673,0.359,1.025,0.448,0.123,0.601,0.134,0.111,0.111,
724.0,157864.56081508895,102657.44433426792,206438.49759219066,,83702.32429175846,27093.497361813115,57085.25888118701,14867.547595375734,27919.467366613953,9763.069173007769,22358.86106129925,81797.79648201549,16642.625807371507,74903.35663533991,0.049,,0.12,0.37,0.176,0.673,0.359,1.025,0.448,0.123,0.601,0.134,0.111,0.111,
1084.0,157864.56081508895,102657.44433426792,206438.49759219066,,83702.32429175846,27093.497361813115,57085.25888118701,14867.547595375734,27919.467366613953,9763.069173007769,22358.86106129925,81797.79648201549,16642.625807371507,74903.35663533991,0.049,,0.12,0.37,0.176,0.673,0.359,1.025,0.448,0.123,0.601,0.134,0.111,0.111,
1444.0,157864.56081508895,102657.44433426792,206438.49759219066,,83702.32429175846,27093.497361813115,57085.25888118701,14867.547595375734,27919.467366613953,9763.069173007769,22358.86106129925,81797.79648201549,16642.625807371507,74903.35663533991,0.049,,0.12,0.37,0.176,0.673,0.359,1.025,0.448,0.123,0.601,0.134,0.111,0.111,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,203691.67852228103,-9827.857295119116,168859.3708580918,,38436.39350396688,11894.790964200896,31203.418355319634,38395.88257328248,34335.000908067595,104504.95560765952,41520.289191361,66654.87481861682,33037.197425886436,36932.11712695003,0.06,,0.261,0.841,0.321,0.261,0.292,0.096,0.241,0.151,0.303,0.271,0.397,0.15,investor 6
1.0,203435.37785788238,-10084.15795951776,168474.05348594644,,38443.606644749954,11901.86298115333,31229.188937158535,38428.713785412445,34321.77584493244,104531.0090717336,41562.23313277077,66699.240910865,33043.1718216841,36962.064322685306,0.06,,0.261,0.841,0.321,0.261,0.292,0.096,0.241,0.15,0.303,0.271,0.397,0.15,investor 6
361.0,205953.88188009374,-7565.653937306401,25839.048426315963,,41109.822331793606,14593.011609418378,40671.35191317835,49167.79074476289,28954.162946211054,112959.29941436446,55789.7376028567,83057.23226381982,36172.340564748265,47425.82446726582,3800.0,,6100.0,2100.0,6100.0,7300.0,4300.0,0.096,8300.0,12400.0,5400.0,7100.0,16600.0,16600.0,
