1.0,231762.25074536962,549868.5433356462,,20823.91277329879,114399.48219416378,744959.8223770809,113999.29653850876,101560.61658514744,6376.660975207512,1728605.67681287,41167.8710390915,8503.19940430287,12265.356930984408,0.019,,0.481,0.088,0.014,0.088,0.099,2.0,0.006,0.243,1.177,0.8160000000000001,0.094,0.013000000000000001,investor 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,355827.1893004721,852762.806695203,,376758.16000414354,182010.66188735605,2803.540642602178,135891.33638289993,20083.014335970314,85.18492294892044,3204.323597817549,51761.75408501364,195913.87672855367,1112.8681430839715,0.012,,0.027,0.055,3.567,0.074,0.498,117.392,3.121,0.194,0.052000000000000005,8.986,0.061,0.051000000000000004,investor 1
1.0,356906.26447151584,855769.5974367181,,376813.66670753236,182172.51591668965,2804.594353869416,136035.70757801319,20100.108023393946,85.29448327680085,3204.2075346805796,51766.88750631969,195957.27268668154,1113.589721095176,0.012,,0.027,0.055,3.5660000000000003,0.074,0.498,117.241,3.121,0.194,0.052000000000000005,8.98,0.061,0.051000000000000004,investor 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,357000.09333919676,687544.4155043787,,28967.298919272493,162169.83888582673,354338.28683932644,23103.63844026512,103396.59372861819,6709.483551612508,425389.0495616939,26913.852085669154,2761.4918812696187,149814.09071597614,0.015,,0.34600000000000003,0.062,0.029,0.433,0.097,1.491,0.024,0.372,3.622,0.067,0.065,0.028,investor 7
1.0,356560.3121864359,686512.8921545449,,28967.59954505384,162168.7501054322,354534.38495258265,23112.52085087936,103507.29130361229,6712.406988952074,425316.54915274144,26923.061026973326,2765.0447642237386,149819.47862255637,0.015,,0.34600000000000003,0.062,0.029,0.433,0.097,1.49,0.024,0.372,3.617,0.067,0.065,0.028,investor 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,207705.08710081095,486089.93893859227,,44061.832048217795,179716.17051487672,290569.8011976704,62355.99122998534,12875.877072097815,498875.1276237246,269067.2734024954,481433.262815337,104351.33021044533,27811.371479519337,0.021,,0.227,0.056,0.035,0.161,0.777,0.021,0.038,0.021,0.096,0.36,0.11900000000000001,0.021,investor 8
1.0,207826.20704518925,486431.9747600726,,44053.63823163286,179797.06481433898,290498.23399995954,62378.11446991413,12880.903590305872,498679.2658194556,269063.6260202575,481603.61513446324,104440.7812393208,27852.08645857052,0.021,,0.227,0.056,0.035,0.161,0.777,0.021,0.038,0.021,0.096,0.36,0.11900000000000001,0.021,investor 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,94177.82444120702,204841.52393598552,,203.4431720968321,224721.7198943334,4197.616288060407,1868.6376407005387,1068.0062888548878,116592.91618092496,175656.28444454086,65318.04075735472,75495.52817179592,806.0616349289236,0.049,,49.154,0.045,2.383,5.352,9.364,0.08600000000000001,0.057,0.154,0.133,12.406,0.17,0.056,investor 2
1.0,94240.06095774144,204993.732552143,,203.64089828575433,224867.45377090058,4202.557894043242,1869.9937136594936,1068.2169859574556,116554.68005860965,175733.27821641593,65277.95604780297,75537.55890529919,805.9567926443315,0.049,,49.107,0.045,2.38,5.348,9.362,0.08600000000000001,0.057,0.154,0.133,12.408,0.17,0.056,investor 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
