Time,Home Value,Equity,HEP Expectation
4,100185.4126,39840.23686,41051.48265
5,100205.2097,39860.03401,41067.26621
6,100186.7847,39841.60892,41052.57655
7,99934.33309,39589.15735,40851.30596
8,100091.5312,39746.35545,40976.63438
9,100128.9517,39783.77596,41006.46841
10,100178.9448,39833.76911,41046.32615
11,100332.2253,39987.04957,41168.53117
12,100022.2347,39677.05894,40921.38675
13,99824.48562,39479.30988,40763.72851
14,99562.43204,39217.25631,40554.80259
15,99532.82986,39187.65412,40531.20183
16,99784.23027,39439.05454,40731.63437
17,100305.307,39960.13124,41147.07015
18,100578.041,40232.86527,41364.51121
19,100296.391,39951.21522,41139.96173
20,100363.7905,40018.61479,41193.69699
21,100085.233,39740.0573,40971.61308
22,99964.85151,39619.67577,40875.6372
23,99858.46932,39513.29358,40790.8225
24,99896.4298,39551.25407,40821.08703
25,99836.58857,39491.41283,40773.37776
26,99775.26612,39430.09038,40724.48757
27,99586.49321,39241.31748,40573.9857
28,99723.30764,39378.13191,40683.06294
29,99939.78135,39594.60562,40855.64967
30,99643.09053,39297.91479,40619.10871
60,100458.1494,40112.97362,41268.9259
90,101383.3053,41038.12954,42006.51956
120,102004.3446,41659.16891,42501.65199
150,102006.043,41660.86726,42503.00603
180,102529.6397,42184.46396,42920.45091
210,101919.3572,41574.18151,42433.89459
240,101976.3884,41631.2127,42479.36351
270,102625.7784,42280.60266,42997.09885
300,103490.7431,43145.56733,43686.70419
330,104707.2891,44362.11334,44656.61272
360,104589.9591,44244.78337,44563.06974
390,106410.3443,46065.16859,46014.39763
420,108537.8077,48192.63198,47710.54795
450,109396.893,49051.71722,48395.46583
480,108797.8568,48452.68107,47917.87577
510,110246.5883,49901.41261,49072.89751
540,111269.8325,50924.65678,49888.69342
570,111606.1035,51260.92777,50156.79023
600,117645.3664,57300.19062,54971.67806
630,119331.1575,58985.98172,56315.69889
660,118508.7108,58163.53504,55659.99162
690,120131.2173,59786.0416,56953.55796
720,118656.5218,58311.34606,55777.83606
750,119593.1923,59248.01661,56524.60992
780,120726.9904,60381.81462,57428.54643
810,122510.5858,62165.4101,58850.54319
840,121498.7353,61153.55956,58043.83102
870,122871.1848,62526.00906,59138.03582
900,121161.4356,60816.25985,57774.91405
930,120328.1804,59983.00462,57110.58951
